cf,posts
Si,"Xx is a perceiving function that relies on sensory details. Xx processes concrete details via compare/contrast with past experiences. Xx uses familiarity of details to establish a sense of stability in life. XXXXs are naturals at handling details and spotting detail discrepancies. Healthy XXXXs are easily content and appreciative of life as it is"
Si,"Mature XXXXs are known for being dutiful, reliable, and conscientious. They are good at learning and following procedure, often depended upon for their meticulous logistical work. At their best, their detailed expertise allows them to approach every situation the right/proper way."
Si,"Immature XXXXs display the negative aspects of Xx due to excessive desire for familiarity/comfort. They tend to be old-fashioned, narrow-minded, risk averse, live quiet lives of resignation, or stubbornly rationalize sticking with bad habits/situations."
Si,"Do you feel most at ease when sensory details are to your liking and match your expectations? Flip side: Are you easily thrown by physical discomfort, inconsistent sensory details, or new/unfamiliar environments, especially in situations where you don’t possess any prior knowledge of the “proper” conduct or procedures to follow?"
Si,"Is it very important to you to proceed carefully or cautiously in new or unfamiliar situations? Do you often rely on well-established, authoritative, or previously learned steps, rules, procedures, or methods? Do you tend to believe that a new/untested approach is too risky?"
Si,"Are you a creature of habit and find comfort in a relatively set daily routine? Is your initial reaction to having your routine disrupted or being forced to improvise usually negative/resistant? "
Si,"When feeling low, do you find yourself harping on little details, complaining about how things aren’t as they should be, and/or contrasting the present situation negatively against positive experiences of the past? Is the richness of your life largely defined by detailed memories, and does past precedent significantly influence your worldview and decision-making process?"
Si,"Have you ever gotten feedback about being (and/or feel sensitive to being labeled as): slow, boring, closed-minded, unadventurous, meek, hesitant, persnickety, finicky, a worrywart, inflexible, stringent, overblown/oversensitive about minor physical discomforts?"
Si,"focus: internal/bodily sensation of concrete facts and details. categorizes and stores data based on personal relevance. cultivated through reconciling new sense impressions with past ones. maintains a gradual and accumulative approach to life, carefully filtering and adapting data to construct a personalized repository of knowledge"
Si,"values a careful, methodical, consistent approach to everything (often inadvertently becomes an expert through personal commitment to incremental learning). driven to seek out familiarity, stability, consistency, security, rituals. makes decisions based on personal priorities, passions, commitments. defines true knowledge in terms of understanding how past events have influenced the meaning of the present"
Si,"knows that respecting prior knowledge: 1) provides a valuable sense of continuity and perseverance for individuals and society, 2) makes progress and solves problems by learning well from historical mistakes and successes, 3) firmly anchors the self by imbuing personal goals, activities, and interests with purpose and meaning, 4) reduces conflict through utilizing well-established methods that provide corrective or reliable support to others/society"
Si,"defines social relationships in terms of faithfully acting in accordance with one’s roles or societal station. interprets social relationships through tangible displays that affirm a willingness to fulfill duties and honor promises. inspires people with depth of expertise and supportive action (unsung heroes), especially by maintaining a grounded and realistic outlook in crisis situations"
Si,"Xx-doms are usually drawn to careers or interests that allow them to: be responsible for managing details and implementing well-crafted plans or procedures; be exacting in enforcing rules/regulations they believe in; provide hands-on support to people/groups in achieving larger goals; manage situations or solve problems methodically; enjoy saving others from tedious or difficult tasks"
Si,"have trouble enjoying the moment due to fear of the future. only attend to information that is useful to themselves (myopic). uncomfortable with change, uncertainty, ambiguity, behavior perceived as inconsistent or hypocritical. tend to lose sight of objective reasons for actions/decisions and excessively focus on their own personal priorities (overly subjective)"
