type,posts
ISTJ,"They are orderly, dependable, practical and dutiful above all. They prefer working with facts and can be conservative in their loyalty to traditions. Tend to resemble The Stoic in fiction, and can become Knight Templar at their worst"
ESTJ,"They are very practical and make good administrators, with a good eye for detail and a flair for setting up logical systems. They sometimes overlook feelings and mood, though. Tend to resemble Type-A Tsundere in fiction"
ISFJ,"They are loyal, orderly and sensitive. They can be very shy around people they don't know, but are the sort of person who will always remember your birthday, and are never accidentally offensive. Tend to closer from The Caretaker and The Stoic when in Fictionland"
ESFJ,"They value security and enjoy making others feel well-cared-for. They are loyal to the belief system of their environment (as opposed to an internal one) and can be outspoken when others fall out of line. Tend to fall somewhere between Manic Pixie Dream Girl and The Caretaker in their portrayals"
ISTP,"They are drawn toward using tools of any type—artistic (musical instruments), technological (computers), or martial (weapons). Although they are introverts, they tend to be authoritative in their interactions with others and can be forceful. They focus on accomplishing tasks efficiently and skillfully. To master the tool of their interest, Crafters require a certain degree of seclusion in which to practice. The result is often a virtuosity that other types find difficult to match. A typical XXXX character might be a Cold Sniper, a Combat Pragmatist, a Gadgeteer Genius, an Omnidisciplinary Scientist, or a Science Hero"
ESTP,"They are very good at convincing others to do things their way. Having said that, they developed this skill because they are the best at improvising towards a desired result, and enjoy sharing their experiences in life with friends. Can often be a Competition Freak or a Boisterous Bruiser"
ISFP,"They live in the moment and are easy-going, preferring a 'live and let live' approach. They don't like confrontations and sometimes keep their mouths shut for that reason. They can be anything in portrayals, though mostly a Tsundere type B"
ESFP,"They live in the moment, learn by doing, and enjoy promoting harmony and fun. This is a team player to the highest degree, but only if this person isn't bored. They also enjoy their creature comforts. They can be anywhere between The Casanova and Good Bad Girl in current portrayals"
INTJ,"They are pragmatic and logical, and are not scared to tell others (or themselves) when they're being stupid. They emphasize efficiency, making them simultaneously loners and excellent leaders. Many Spocks and Byronic Heroes (as well as The Chessmaster or The Strategist, especially in fiction) fall into this category"
ENTJ,"They enjoy making plans and carrying them out. They make really good leaders, but have trouble being non-objective and accounting for emotions. They are fact-driven and good at highlighting inefficiencies. Possibly a Corrupt Corporate XXXX or Evil Overlord as a villain, or a more person-oriented version of The Chessmaster. When shown in positive light, definitely a Reasonable Authority Figure"
